"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE"
2015,"UF",11,1768204,1562409,795157,767252,424320,899190,238899,208310,444471,114471,0.706,0.69,0.659,0.681,27918,0,2662312,226,5411,8045,6991,4780,2025,418,21,1,27691,20,25,30,25.32,6.24,99,1615,8058,12029,1816,3015,6753,1069,116,17818,390,8803,18546,0,0,27378,472,10,90,179,2253,22292,807,2532,22292,807,38,39,40,38.62,2.11,69,4832,2120,2359,13051,7748,20170,9201,18667,25823,776,56,6253,2023,5141,866,7021,284,388,464,56,2093,27035,744,83,54,0,14324,13592,7091,1090,120,18228,391,1893,24355,1668,2960,3265,3570,3238.16,540.42,1699,20555,3082,27721,0,9.23,0.76,210,27322,7948,0,0,1508,6440,346,1221,1980,768,2125,4989,2955,2,0,12,5,7,393,NA,2,0,0,8,1,29,8,1,2,9,9,20,0,0,5,3,8,1,0,740547,67350
2015,"MUNICIPIO",1100015,25578,24392,12656,11736,6416,13823,4153,3131,6715,1890,NA,0.641,NA,NA,373,0,334,1,73,129,80,68,20,2,0,0,372,20,24,29,24.88,5.84,1,31,134,148,18,37,117,8,0,203,25,93,275,0,0,362,9,0,3,3,30,327,6,36,327,6,38,39,40,38.56,2.22,0,59,26,52,200,279,94,102,271,361,10,0,105,22,70,9,116,5,3,9,0,28,369,1,1,1,0,210,163,117,8,0,203,25,22,329,22,2980,3275,3560,3255.06,547.34,26,301,40,372,0,9.03,0.73,2,366,145,0,0,27,118,6,23,32,18,39,91,54,0,0,0,0,0,7,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10359,NA
2015,"MUNICIPIO",1100379,13940,12816,6739,6077,3765,7091,1960,1832,3358,887,NA,0.592,NA,NA,149,0,140,1,28,44,47,19,8,2,0,0,148,20,25,29,24.79,5.71,1,13,59,53,4,15,43,6,1,94,2,20,126,0,0,148,1,0,0,0,9,136,3,9,136,3,38,39,40,38.83,1.42,0,15,8,10,109,145,4,26,123,148,1,0,44,4,25,4,60,0,1,1,0,9,148,0,0,1,0,71,78,43,6,1,94,2,6,134,9,3000,3270,3600,3290.69,448.08,7,123,17,147,0,9.08,0.36,0,148,53,0,0,6,47,1,13,16,3,14,27,26,0,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA
2015,"MUNICIPIO",1100403,20210,17135,9022,8113,5105,9323,2707,2503,4407,1203,NA,0.678,NA,NA,247,0,176,0,51,81,62,36,14,3,0,0,247,20,24,29,24.86,5.92,2,21,54,86,9,14,51,13,0,122,0,53,190,0,0,245,2,1,0,0,13,222,8,14,222,8,38,39,41,38.99,2.13,0,26,18,22,97,245,2,52,195,187,3,0,25,38,21,18,68,1,2,2,0,12,206,39,0,2,0,134,113,75,13,0,155,0,10,228,9,2935,3200,3460,3202.26,455.14,23,200,18,246,0,9.66,0.57,3,243,78,0,0,20,58,3,10,8,5,32,48,30,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,NA
2015,"MUNICIPIO",1100346,17063,16853,8678,8175,4497,9270,3086,2180,4569,1426,NA,0.643,NA,NA,200,0,185,1,42,64,41,40,9,3,0,0,199,20,24,30,24.87,5.94,0,11,63,88,8,24,62,14,1,120,0,36,162,0,0,200,0,0,1,0,21,164,10,22,164,10,38,39,40,38.57,2.01,1,44,22,33,88,192,8,70,130,191,7,1,42,21,38,9,59,3,4,0,1,18,192,4,2,2,0,106,94,62,14,1,120,0,12,184,4,3010,3267.5,3496.25,3201.55,497.44,13,166,17,199,0,9.11,0.63,1,198,84,0,0,12,72,3,13,21,11,24,48,36,0,0,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9063,6642
2015,"MUNICIPIO",1100023,104401,90353,45543,44810,24812,52550,12991,12250,26364,6196,NA,0.702,NA,NA,1783,0,1223,15,370,527,467,271,110,23,0,0,1768,20,24,29,24.9,6.06,1,61,347,627,89,139,406,58,9,794,2,321,1444,0,0,1762,19,1,3,7,119,1599,38,130,1599,38,38,39,41,39.15,2.07,3,236,141,154,637,315,1468,504,1278,1244,34,2,223,221,208,86,373,12,19,19,2,108,1653,127,0,3,0,938,845,614,76,11,1060,2,109,1569,105,2960,3250,3560,3240.92,535.77,150,1410,191,1781,0,9.68,0.72,4,1774,511,0,0,114,397,23,71,148,43,112,327,184,0,0,1,0,1,17,NA,1,0,0,0,0,5,3,0,1,0,1,4,0,0,2,1,0,0,0,42973,1158
2015,"MUNICIPIO",1100452,37838,32383,16741,15642,9779,18228,4376,4847,8892,1903,NA,0.672,NA,NA,608,0,450,3,126,198,162,84,28,6,1,0,605,20,24,28,24.5,5.85,2,58,221,256,22,33,164,27,6,336,0,171,418,0,0,599,6,0,2,3,44,480,18,49,480,18,38,39,40,38.63,1.99,0,93,31,69,367,47,561,115,492,581,16,0,96,103,49,50,179,13,3,6,0,40,334,274,0,0,0,292,316,167,27,6,336,0,34,545,29,2953.75,3242.5,3550,3239.78,501.94,39,441,59,606,0,9.61,0.9,7,584,139,0,0,47,92,6,22,31,8,25,93,46,0,0,1,1,0,8,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2015,"MUNICIPIO",1100031,6355,6313,3266,3047,1617,3366,1330,811,1634,602,NA,0.65,NA,NA,86,0,80,0,15,22,26,15,7,1,0,0,86,21,25,30,25.57,5.89,0,4,21,44,5,7,29,2,1,51,0,42,44,0,0,84,2,0,0,0,4,80,0,4,80,0,38,39,40,38.92,1.47,0,12,6,10,53,80,6,18,68,80,0,0,26,3,16,1,29,0,0,2,0,2,86,0,0,0,0,44,42,31,2,1,51,0,2,73,11,3096.25,3275,3615,3346.79,492.18,3,67,14,86,0,9.24,0.75,0,86,28,0,0,8,20,0,4,7,1,8,19,9,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,NA
2015,"MUNICIPIO",1100601,6367,5736,2965,2771,1665,3070,1001,844,1500,427,NA,0.646,NA,NA,72,0,44,0,18,25,15,7,6,1,0,0,72,19.75,24,29,24.5,6.24,0,6,12,25,0,3,14,3,0,30,0,17,54,0,0,71,1,0,0,0,5,61,3,5,61,3,38,40,41,39.49,1.94,0,5,4,6,28,70,2,19,53,47,0,0,6,13,7,1,13,0,0,1,0,4,71,1,0,0,0,36,36,23,4,1,44,0,5,63,4,2915,3252.5,3510,3214.15,454.76,6,55,5,72,0,9.54,0.67,0,72,28,0,0,3,25,2,2,6,5,10,15,13,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,NA
2015,"MUNICIPIO",1100049,87226,78574,39124,39450,19557,45798,13219,9640,23217,6593,NA,0.718,NA,NA,1360,0,1300,3,212,378,373,267,108,16,3,0,1357,21,26,30,26.02,6.12,3,59,335,623,127,203,445,78,0,800,34,275,1079,0,0,1332,27,0,6,7,144,1133,43,157,1133,43,38,39,39,38.34,2.07,0,205,100,121,877,279,1081,256,1104,1309,41,3,385,103,209,44,387,13,22,25,3,136,1352,2,6,0,0,683,677,445,78,0,800,34,99,1208,53,2910,3215,3500,3183.9,513.99,96,1079,141,1354,0,9.28,0.65,6,1352,440,0,0,62,378,13,75,127,46,117,261,179,0,0,0,0,0,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68739,38500
2015,"MUNICIPIO",1100700,14220,12665,6768,5897,3942,6900,1823,1947,3218,732,NA,0.593,NA,NA,156,0,124,2,25,60,38,21,9,1,0,0,154,20.75,23,28,24.67,5.64,0,28,42,64,6,7,38,4,3,93,1,34,120,0,0,155,0,0,0,1,9,124,10,10,124,10,38,39,40,38.92,2.06,1,25,16,17,81,156,0,24,131,139,6,1,19,24,15,18,41,2,4,0,1,10,72,83,0,1,0,88,68,43,4,3,96,1,6,142,8,2993.75,3237.5,3515,3233.94,458.14,8,119,12,155,0,9.7,0.54,4,150,43,0,0,9,34,1,7,9,8,9,32,11,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,NA
2015,"MUNICIPIO",1100809,24155,19779,10320,9459,6201,10686,2892,3046,5192,1221,NA,0.649,NA,NA,323,0,252,5,84,90,80,41,18,5,0,0,318,19,24,28,24.15,6.33,3,31,139,122,9,15,32,9,2,265,0,150,168,0,0,317,4,0,1,5,33,249,7,39,249,7,38,39,40,38.5,2.32,0,64,17,13,106,321,2,154,167,308,12,0,72,21,84,9,63,4,6,4,0,31,311,8,1,3,0,164,159,32,9,2,266,0,31,265,27,2950,3275,3650,3243.32,654.68,24,219,47,315,0,9.15,0.71,4,313,111,0,0,37,74,3,14,14,8,35,81,30,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12619,NA
2015,"MUNICIPIO",1100908,3617,3575,1829,1746,916,1928,731,466,940,340,NA,0.658,NA,NA,52,0,50,0,13,13,15,8,2,1,0,0,52,19.75,24,29,24.77,5.91,0,0,16,24,3,7,16,4,2,29,0,6,46,0,0,52,0,0,0,0,4,47,1,4,47,1,38,39,39.25,38.58,1.88,0,7,6,7,29,52,0,11,41,51,1,0,17,3,7,2,18,1,0,0,0,4,52,0,0,0,0,23,29,16,4,2,29,0,2,49,1,2956.25,3280,3531.25,3220.33,446.91,2,44,5,52,0,8.88,0.65,0,51,17,0,0,3,14,1,0,6,1,6,13,4,0,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,727,NA
2015,"MUNICIPIO",1100056,17986,17029,8551,8478,4227,9656,3146,2060,4889,1529,NA,0.692,NA,NA,277,0,260,2,39,87,74,50,21,4,0,0,275,21,25,30,25.85,5.95,0,14,68,116,35,34,108,8,0,148,0,113,159,0,0,267,9,0,0,1,13,251,3,14,251,3,38,39,40,38.74,1.41,0,37,18,32,171,159,118,64,213,252,8,0,64,33,37,14,86,3,3,9,0,10,275,2,0,0,0,129,148,113,8,0,153,0,17,248,12,2945,3255,3530,3226.13,457.45,17,229,21,276,0,9.2,0.89,2,275,80,0,0,12,68,0,12,27,5,24,48,32,0,0,1,1,0,0,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9161,NA
2015,"MUNICIPIO",1100924,10129,8301,4415,3886,2509,4732,1060,1223,2240,423,NA,0.652,NA,NA,154,0,150,3,38,39,42,23,4,4,1,0,151,19,24,28.75,24.42,6.53,0,16,51,65,5,13,41,8,1,97,4,107,46,0,0,154,0,0,0,1,6,145,1,7,145,1,38,39,40,38.82,1.67,0,32,10,15,87,151,3,43,111,143,2,0,40,7,33,1,56,0,2,0,0,6,152,1,0,1,0,87,67,43,8,1,97,5,10,136,8,3030,3275,3567.5,3255.3,511.5,10,129,14,154,0,9.29,0.8,1,152,42,0,0,10,32,2,3,12,4,11,28,14,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2015,"MUNICIPIO",1100064,18817,18591,9330,9261,4445,10329,3817,2185,5193,1883,NA,0.685,NA,NA,251,0,246,0,44,66,63,55,20,2,1,0,251,21,26,30,25.87,6.18,1,8,51,117,22,50,76,5,2,167,0,118,131,0,0,246,5,0,0,1,18,226,5,19,226,5,38,39,39,38.49,1.77,0,33,15,12,186,244,7,67,184,233,5,0,71,18,50,10,68,4,1,5,0,10,251,0,0,0,0,138,113,76,5,2,167,0,20,222,9,2865,3200,3487.5,3139.75,554.64,19,215,16,251,0,9.3,0.61,2,249,88,0,0,14,74,2,16,26,10,20,59,29,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13686,NA
2015,"MUNICIPIO",1100072,8842,8783,4711,4072,2281,4995,1507,1078,2329,665,NA,0.613,NA,NA,111,0,102,1,22,35,26,19,7,1,0,0,110,20,24,29,25.02,6.27,0,13,41,38,5,9,31,5,0,69,0,48,63,0,0,111,0,0,0,0,1,105,1,1,105,1,38,39,40,38.95,1.03,0,14,5,12,75,110,1,26,85,97,1,2,23,13,23,2,34,1,0,0,2,1,111,0,0,0,0,62,49,34,5,0,69,0,5,104,2,3010,3320,3537.5,3250.1,425.94,9,94,4,111,0,9.28,0.56,1,110,42,0,0,11,31,1,9,10,5,6,31,11,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,NA
2015,"MUNICIPIO",1100080,16651,13678,7202,6476,4605,7276,1797,2266,3413,797,NA,0.611,NA,NA,245,0,218,4,75,69,55,26,13,3,0,0,241,19,22,28,23.59,6.19,1,27,104,86,9,14,41,16,1,165,4,67,166,0,0,242,2,0,2,1,26,202,12,29,202,12,38,39,40,38.73,2.34,0,56,15,26,134,193,52,89,155,234,5,1,63,7,66,4,64,1,4,2,1,28,244,1,0,0,0,133,112,41,16,1,165,4,16,215,14,3000,3280,3620,3278.14,515.44,17,188,33,244,0,8.79,0.9,1,239,66,0,0,16,50,2,2,22,6,18,40,26,0,0,0,0,0,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,NA
2015,"MUNICIPIO",1100940,20974,15854,8456,7398,5124,8810,1920,2474,4156,768,NA,0.612,NA,NA,274,0,210,1,72,89,58,38,10,5,1,0,273,19,23,28,24.14,6.13,2,32,104,84,6,8,44,11,1,175,0,100,170,0,0,270,4,0,0,1,21,237,9,22,237,9,38,39,40,38.95,1.83,0,40,21,18,92,259,15,93,181,229,8,0,45,29,48,13,69,2,6,4,0,16,247,19,0,8,0,156,118,62,12,1,190,0,17,244,13,2962.5,3263,3558.5,3232.08,531.03,20,227,18,271,0,9.34,0.59,2,265,50,0,0,11,39,4,8,7,1,19,37,13,0,0,0,0,0,4,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2096,NA
2015,"MUNICIPIO",1100098,32385,28729,14606,14123,7699,16309,4721,3816,8031,2276,NA,0.672,NA,NA,548,0,465,1,102,175,130,98,34,8,0,0,547,21,24,30,25.17,6.03,3,54,187,183,24,66,197,29,0,284,31,70,439,0,0,547,0,1,1,5,40,412,31,47,412,31,38,39,40,38.7,2.31,0,117,42,51,325,123,425,82,465,542,5,0,26,6,75,2,329,1,4,0,0,46,545,1,1,1,0,295,253,197,29,0,284,31,27,487,34,3050,3299.5,3595,3300.75,481.84,31,374,67,546,0,9,0.68,0,547,149,0,0,20,129,1,22,31,15,60,87,62,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12611,NA
2015,"MUNICIPIO",1101005,10127,10512,5470,5042,2970,5717,1825,1477,2722,843,NA,0.596,NA,NA,132,0,117,3,22,47,33,20,7,0,0,0,129,20,24,29,24.63,5.75,0,13,43,51,11,9,34,2,0,92,1,28,103,0,0,128,4,0,1,0,5,112,5,6,112,5,38,39,40,38.83,1.94,1,18,3,9,93,129,3,31,101,126,3,0,31,32,9,3,36,0,2,4,0,3,126,6,0,0,0,60,72,34,2,0,95,1,4,126,2,2900,3185,3531.25,3200.76,410.92,9,100,12,131,0,9.16,0.52,1,131,35,0,0,6,29,1,5,12,2,9,24,11,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2015,"MUNICIPIO",1100106,46632,41656,20947,20709,13186,22575,5895,6482,11268,2959,NA,0.657,NA,NA,831,0,765,12,169,238,174,142,69,26,1,0,819,20,24,30,25.49,6.86,6,73,344,310,28,65,92,37,2,528,160,674,147,0,0,817,13,2,5,16,106,630,61,129,630,61,38,39,40,38.58,2.9,28,103,190,118,294,61,770,515,316,800,24,2,199,5,300,7,152,8,11,13,2,118,808,1,20,2,0,430,401,92,37,2,529,160,52,701,78,3000,3300,3650,3291.62,570.04,50,575,156,807,0,9.15,0.8,5,821,208,0,0,36,172,8,21,51,23,69,121,87,0,0,0,0,0,16,NA,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,18936,2378
2015,"MUNICIPIO",1101104,9995,8566,4565,4001,2684,4495,1387,1258,2164,579,NA,0.614,NA,NA,112,0,83,3,33,26,30,15,3,2,0,0,109,18,23,28,23.82,6.31,0,11,38,39,1,13,19,6,0,75,0,43,68,0,0,111,0,0,0,0,8,93,3,8,93,3,38,39,40,39.12,1.82,0,25,5,5,31,101,11,59,52,100,0,0,28,7,35,6,10,0,0,0,0,8,106,0,0,6,0,52,60,23,6,0,80,0,4,101,7,2977.5,3322.5,3623.75,3319.51,450.3,1,88,14,105,0,9.37,0.56,1,109,35,0,0,10,25,2,10,1,1,11,25,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,NA
2015,"MUNICIPIO",1100114,55738,52005,26005,26000,13822,29844,8339,6958,14932,4110,NA,0.689,NA,NA,788,0,687,4,122,244,215,149,46,8,0,0,784,21,25,30,25.52,5.79,3,53,188,398,51,77,249,29,1,479,4,160,618,0,0,771,17,0,1,3,36,666,33,40,666,33,38,39,40,38.81,1.83,1,104,44,76,470,327,461,199,588,759,12,0,200,111,107,3,248,5,4,17,0,31,783,4,0,1,0,398,390,258,29,1,481,4,48,687,53,2963.75,3252.5,3550,3248.16,524.24,40,610,83,787,0,9.16,0.6,4,777,261,0,0,37,224,12,35,72,27,78,166,95,0,0,0,0,0,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21951,NA
