"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"UF",11,7948,0,0,1508,6440,346,1221,1980,768,2125,4989,2955,2,0,12,5,7,393,NA,2,0,0,8,1,29,8,1,2,9,9,20,0,0,5,3,8,1,0
2015,"MUNICIPIO",110001,145,0,0,27,118,6,23,32,18,39,91,54,0,0,0,0,0,7,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO",110002,511,0,0,114,397,23,71,148,43,112,327,184,0,0,1,0,1,17,NA,1,0,0,0,0,5,3,0,1,0,1,4,0,0,2,1,0,0,0
2015,"MUNICIPIO",110003,28,0,0,8,20,0,4,7,1,8,19,9,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110004,440,0,0,62,378,13,75,127,46,117,261,179,0,0,0,0,0,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110005,80,0,0,12,68,0,12,27,5,24,48,32,0,0,1,1,0,0,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110006,88,0,0,14,74,2,16,26,10,20,59,29,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110007,42,0,0,11,31,1,9,10,5,6,31,11,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110008,66,0,0,16,50,2,2,22,6,18,40,26,0,0,0,0,0,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110009,149,0,0,20,129,1,22,31,15,60,87,62,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110010,208,0,0,36,172,8,21,51,23,69,121,87,0,0,0,0,0,16,NA,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110011,261,0,0,37,224,12,35,72,27,78,166,95,0,0,0,0,0,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110012,603,0,0,81,522,25,87,191,64,155,345,256,0,0,0,0,0,33,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2015,"MUNICIPIO",110013,149,0,0,37,112,5,16,28,16,47,103,45,0,0,1,0,1,10,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110014,89,0,0,7,82,1,17,33,5,26,62,27,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110015,191,0,0,13,178,13,29,67,16,53,117,74,0,0,0,0,0,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110018,187,0,0,31,156,4,28,56,16,52,111,76,0,0,0,0,0,10,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
2015,"MUNICIPIO",110020,2271,0,0,461,1810,153,408,436,244,569,1411,859,2,0,3,1,2,118,NA,1,0,0,1,0,9,2,0,0,4,3,6,0,0,1,0,5,0,0
2015,"MUNICIPIO",110025,126,0,0,15,111,3,16,38,20,34,74,52,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110026,11,0,0,1,10,0,1,6,0,3,5,6,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110028,281,0,0,30,251,12,41,82,20,96,164,117,0,0,0,0,0,23,NA,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2015,"MUNICIPIO",110029,46,0,0,6,40,1,7,15,5,12,28,18,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110030,437,0,0,109,328,11,60,112,47,98,290,147,0,0,2,1,1,17,NA,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO",110032,104,0,0,21,83,1,16,26,17,23,66,38,0,0,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110033,107,0,0,29,78,5,12,19,5,37,86,21,0,0,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110034,84,0,0,12,72,3,13,21,11,24,48,36,0,0,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110037,53,0,0,6,47,1,13,16,3,14,27,26,0,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
2015,"MUNICIPIO",110040,78,0,0,20,58,3,10,8,5,32,48,30,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110045,139,0,0,47,92,6,22,31,8,25,93,46,0,0,1,1,0,8,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110050,41,0,0,8,33,3,4,15,1,10,33,8,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110060,28,0,0,3,25,2,2,6,5,10,15,13,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110070,43,0,0,9,34,1,7,9,8,9,32,11,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110080,111,0,0,37,74,3,14,14,8,35,81,30,0,0,0,0,0,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110090,17,0,0,3,14,1,0,6,1,6,13,4,0,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2015,"MUNICIPIO",110092,42,0,0,10,32,2,3,12,4,11,28,14,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110094,50,0,0,11,39,4,8,7,1,19,37,13,0,0,0,0,0,4,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110100,35,0,0,6,29,1,5,12,2,9,24,11,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110110,35,0,0,10,25,2,10,1,1,11,25,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110120,48,0,0,12,36,0,9,8,3,16,31,17,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110130,57,0,0,10,47,0,7,19,7,14,34,23,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110140,69,0,0,23,46,3,5,19,5,14,45,24,0,0,1,1,0,3,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110143,30,0,0,6,24,1,6,7,3,7,24,6,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110145,16,0,0,3,13,0,2,5,1,5,11,5,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
2015,"MUNICIPIO",110146,10,0,0,1,9,0,2,4,1,2,8,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110147,22,0,0,4,18,2,4,6,1,5,17,5,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110148,21,0,0,4,17,0,2,8,0,7,15,6,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110149,72,0,0,20,52,1,7,22,6,16,48,24,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2015,"MUNICIPIO",110150,44,0,0,11,33,0,7,7,4,15,25,19,0,0,0,0,0,4,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110155,19,0,0,4,15,0,3,5,1,6,13,6,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110160,38,0,0,9,29,1,11,6,0,11,22,16,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110170,55,0,0,5,50,1,7,24,2,16,35,20,0,0,0,0,0,4,NA,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2015,"MUNICIPIO",110175,33,0,0,5,28,2,3,11,0,12,24,9,0,0,1,0,1,2,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",110180,21,0,0,2,19,1,7,5,2,4,10,11,0,0,1,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
